 Sistema de Informação de Atenção Básica - Cadastramento Familiar - São Paulo
Nº Famílias por Município
Período:Dez/2009
"Município";"Nº_Famílias"
"350010 Adamantina";3434
"350020 Adolfo";1258
"350050 Águas de Lindóia";897
"350070 Agudos";3083
"350080 Alfredo Marcondes";1425
"350090 Altair";1072
"350100 Altinópolis";4973
"350110 Alto Alegre";1452
"350120 Álvares Florence";1422
"350130 Álvares Machado";11116
"350140 Álvaro de Carvalho";1026
"350150 Alvinlândia";837
"350160 Americana";8481
"350180 Américo de Campos";1950
"350190 Amparo";17770
"350210 Andradina";14346
"350220 Angatuba";1887
"350230 Anhembi";1232
"350240 Anhumas";1086
"350250 Aparecida";4473
"350260 Aparecida d'Oeste";1624
"350270 Apiaí";5723
"350280 Araçatuba";33675
"350290 Araçoiaba da Serra";2483
"350300 Aramina";1574
"350310 Arandu";1752
"350315 Arapeí";791
"350320 Araraquara";17240
"350330 Araras";17075
"350335 Arco-Íris";625
"350340 Arealva";2457
"350350 Areias";1079
"350360 Areiópolis";4835
"350370 Ariranha";1102
"350380 Artur Nogueira";9168
"350390 Arujá";5804
"350400 Assis";9405
"350410 Atibaia";9351
"350440 Avanhandava";2737
"350450 Avaré";4495
"350490 Bananal";2167
"350500 Barão de Antonina";997
"350520 Bariri";3079
"350530 Barra Bonita";989
"350535 Barra do Chapéu";1534
"350540 Barra do Turvo";2178
"350550 Barretos";8029
"350560 Barrinha";3105
"350580 Bastos";5649
"350590 Batatais";13886
"350600 Bauru";9066
"350610 Bebedouro";9560
"350620 Bento de Abreu";769
"350630 Bernardino de Campos";2156
"350640 Bilac";2061
"350650 Birigui";23986
"350660 Biritiba-Mirim";4047
"350670 Boa Esperança do Sul";2022
"350680 Bocaina";2436
"350715 Bom Sucesso de Itararé";1088
"350730 Boracéia";1086
"350740 Borborema";6313
"350745 Borebi";581
"350750 Botucatu";9405
"350760 Bragança Paulista";19151
"350770 Braúna";1628
"350775 Brejo Alegre";778
"350780 Brodowski";797
"350790 Brotas";787
"350800 Buri";4407
"350810 Buritama";4262
"350820 Buritizal";953
"350850 Caçapava";14619
"350860 Cachoeira Paulista";7654
"350880 Cafelândia";2140
"350890 Caiabu";1327
"350910 Caiuá";1888
"350920 Cajamar";11419
"350925 Cajati";2388
"350930 Cajobi";2041
"350940 Cajuru";4905
"350945 Campina do Monte Alegre";1732
"350950 Campinas";143549
"350960 Campo Limpo Paulista";6051
"350970 Campos do Jordão";13717
"350980 Campos Novos Paulista";1492
"350990 Cananéia";3267
"350995 Canas";1224
"351000 Cândido Mota";953
"351010 Cândido Rodrigues";896
"351015 Canitar";1010
"351020 Capão Bonito";10146
"351040 Capivari";3425
"351050 Caraguatatuba";25087
"351080 Casa Branca";2735
"351090 Cássia dos Coqueiros";876
"351100 Castilho";5640
"351110 Catanduva";18855
"351140 Cerqueira César";2562
"351150 Cerquilho";11989
"351160 Cesário Lange";1437
"355720 Chavantes";563
"351190 Clementina";2834
"351200 Colina";4808
"351210 Colômbia";1564
"351220 Conchal";7031
"351230 Conchas";3894
"351240 Cordeirópolis";4697
"351250 Coroados";1587
"351260 Coronel Macedo";974
"351280 Cosmópolis";5623
"351290 Cosmorama";599
"351300 Cotia";3076
"351310 Cravinhos";755
"351320 Cristais Paulista";557
"351330 Cruzália";758
"351340 Cruzeiro";4580
"351350 Cubatão";15759
"351360 Cunha";4042
"351370 Descalvado";8313
"351380 Diadema";125443
"351385 Dirce Reis";585
"351410 Dois Córregos";4342
"351420 Dolcinópolis";844
"351430 Dourado";2627
"351440 Dracena";2039
"351450 Duartina";4021
"351470 Echaporã";2033
"351480 Eldorado";1339
"351490 Elias Fausto";4575
"351492 Elisiário";875
"351495 Embaúba";753
"351500 Embu das Artes";18441
"351510 Embu-Guaçu";3707
"351512 Emilianópolis";996
"351515 Engenheiro Coelho";2357
"351518 Espírito Santo do Pinhal";8749
"351519 Espírito Santo do Turvo";1350
"355730 Estiva Gerbi";2456
"351530 Estrela do Norte";847
"351535 Euclides da Cunha Paulista";3012
"351540 Fartura";946
"351560 Fernando Prestes";1770
"351550 Fernandópolis";10152
"351565 Fernão";494
"351570 Ferraz de Vasconcelos";15816
"351580 Flora Rica";609
"351600 Flórida Paulista";3488
"351610 Florínia";794
"351620 Franca";4448
"351630 Francisco Morato";31554
"351640 Franco da Rocha";5313
"351650 Gabriel Monteiro";959
"351660 Gália";2328
"351670 Garça";13435
"351685 Gavião Peixoto";1165
"351700 Getulina";920
"351710 Glicério";1426
"351720 Guaiçara";635
"351730 Guaimbê";1570
"351740 Guaíra";10444
"351750 Guapiaçu";2723
"351760 Guapiara";5546
"351770 Guará";4876
"351780 Guaraçaí";732
"351800 Guarani d'Oeste";720
"351810 Guarantã";1900
"351840 Guaratinguetá";7854
