"350020 Adolfo";1008
"350030 Aguaí";2916
"350070 Agudos";986
"350080 Alfredo Marcondes";1304
"350090 Altair";940
"350100 Altinópolis";4510
"350110 Alto Alegre";1334
"350130 Álvares Machado";3101
"350140 Álvaro de Carvalho";896
"350150 Alvinlândia";853
"350160 Americana";1052
"350190 Amparo";14303
"350200 Analândia";741
"350210 Andradina";13263
"350220 Angatuba";798
"350240 Anhumas";1019
"350250 Aparecida";2220
"350260 Aparecida d'Oeste";1592
"350270 Apiaí";6078
"350280 Araçatuba";32696
"350290 Araçoiaba da Serra";2093
"350300 Aramina";828
"350310 Arandu";1771
"350315 Arapeí";847
"350320 Araraquara";6979
"350330 Araras";14153
"350335 Arco-Íris";619
"350350 Areias";933
"350360 Areiópolis";2698
"350380 Artur Nogueira";7703
"350400 Assis";8703
"350410 Atibaia";4257
"350420 Auriflama";3703
"350440 Avanhandava";1835
"350450 Avaré";2568
"350480 Bálsamo";2221
"350490 Bananal";1835
"350500 Barão de Antonina";812
"350510 Barbosa";870
"350520 Bariri";2794
"350530 Barra Bonita";974
"350535 Barra do Chapéu";1370
"350540 Barra do Turvo";2350
"350560 Barrinha";1833
"350580 Bastos";5357
"350590 Batatais";13591
"350600 Bauru";4885
"350610 Bebedouro";8039
"350620 Bento de Abreu";686
"350630 Bernardino de Campos";2505
"350640 Bilac";2023
"350650 Birigui";657
"350660 Biritiba-Mirim";1367
"350715 Bom Sucesso de Itararé";933
"350730 Boracéia";973
"350745 Borebi";475
"350750 Botucatu";4907
"350760 Bragança Paulista";5039
"350770 Braúna";1436
"350775 Brejo Alegre";709
"350780 Brodowski";760
"350790 Brotas";547
"350800 Buri";3643
"350810 Buritama";4071
"350820 Buritizal";786
"350860 Cachoeira Paulista";4391
"350880 Cafelândia";464
"350890 Caiabu";1282
"350900 Caieiras";1175
"350910 Caiuá";1218
"350920 Cajamar";7112
"350925 Cajati";2268
"350930 Cajobi";865
"350940 Cajuru";5098
"350945 Campina do Monte Alegre";1630
"350950 Campinas";10686
"350980 Campos Novos Paulista";1322
"350990 Cananéia";2400
"350995 Canas";983
"351000 Cândido Mota";813
"351015 Canitar";1140
"351020 Capão Bonito";11440
"351040 Capivari";2220
"351050 Caraguatatuba";21303
"351080 Casa Branca";965
"351090 Cássia dos Coqueiros";831
"351100 Castilho";4593
"351110 Catanduva";8291
"351150 Cerquilho";9624
"351160 Cesário Lange";1455
"355720 Chavantes";679
"351190 Clementina";1694
"351200 Colina";4814
"351210 Colômbia";927
"351220 Conchal";2451
"351230 Conchas";4679
"351240 Cordeirópolis";2056
"351250 Coroados";1403
"351260 Coronel Macedo";604
"351280 Cosmópolis";4174
"351300 Cotia";4104
"351320 Cristais Paulista";616
"351330 Cruzália";795
"351340 Cruzeiro";2513
"351350 Cubatão";14151
"351360 Cunha";2853
"351370 Descalvado";2055
"351380 Diadema";48443
"351385 Dirce Reis";523
"351410 Dois Córregos";1231
"351420 Dolcinópolis";733
"351430 Dourado";2230
"351440 Dracena";3142
"351450 Duartina";1335
"351460 Dumont";1162
"351470 Echaporã";1926
"351480 Eldorado";1503
"351490 Elias Fausto";4144
"351492 Elisiário";845
"351495 Embaúba";716
"351500 Embu das Artes";10697
"351512 Emilianópolis";925
"351515 Engenheiro Coelho";1744
"351518 Espírito Santo do Pinhal";8561
"351519 Espírito Santo do Turvo";1097
"355730 Estiva Gerbi";1112
"351530 Estrela do Norte";736
"351535 Euclides da Cunha Paulista";2725
"351540 Fartura";919
"351550 Fernandópolis";3367
"351565 Fernão";458
"351570 Ferraz de Vasconcelos";8982
"351580 Flora Rica";656
"351600 Flórida Paulista";3293
"351610 Florínia";781
"351620 Franca";4545
"351630 Francisco Morato";30400
"351640 Franco da Rocha";5033
"351650 Gabriel Monteiro";840
"351660 Gália";2263
"351670 Garça";12518
"351710 Glicério";1311
"351730 Guaimbê";1571
"351750 Guapiaçu";1833
"351760 Guapiara";5017
"351770 Guará";3157
"351780 Guaraçaí";714
"351790 Guaraci";2363
"351800 Guarani d'Oeste";644
"351810 Guarantã";1488
"351820 Guararapes";5368
"351840 Guaratinguetá";5516
"351850 Guareí";3167
"351860 Guariba";1353
"351880 Guarulhos";10843
"351885 Guatapará";1493
"351890 Guzolândia";1268
"351900 Herculândia";2105
"351905 Holambra";1786
"351907 Hortolândia";3855
"351920 Iacri";1557
"351925 Iaras";792
"351930 Ibaté";4954
"351940 Ibirá";980
"351950 Ibirarema";1761
"351960 Ibitinga";1174
"351970 Ibiúna";2786
"351980 Icém";755
"351990 Iepê";2165
"352010 Igarapava";503
"352020 Igaratá";2235
"352030 Iguape";2515
"352042 Ilha Comprida";2970
"352044 Ilha Solteira";3966
"352040 Ilhabela";7428
"352050 Indaiatuba";5404
"352060 Indiana";1528
"352070 Indiaporã";1328
"352080 Inúbia Paulista";996
"352090 Ipaussu";2183
"352100 Iperó";715
"352110 Ipeúna";1003
"352115 Ipiguá";1338
"352120 Iporanga";1046
"352130 Ipuã";2228
"352140 Iracemápolis";3646
"352150 Irapuã";1666
"352160 Irapuru";1869
"352170 Itaberá";2780
"352210 Itanhaém";13886
"352215 Itaóca";864
"352220 Itapecerica da Serra";9971
"352230 Itapetininga";3697
"352240 Itapeva";14656
"352250 Itapevi";2599
"352260 Itapira";10800
"352265 Itapirapuã Paulista";1029
"352270 Itápolis";788
"352290 Itapuí";2974
"352300 Itapura";1078
"352310 Itaquaquecetuba";4852
"352320 Itararé";8651
"352330 Itariri";3140
"352340 Itatiba";5153
"352370 Itirapuã";450
"352390 Itu";1618
"352410 Ituverava";2246
"352420 Jaborandi";1831
"352430 Jaboticabal";646
"352440 Jacareí";567
"352450 Jaci";1379
"352460 Jacupiranga";1852
"352480 Jales";9119
"352490 Jambeiro";1285
"352500 Jandira";5665
"352510 Jardinópolis";3893
"352530 Jaú";7863
"352540 Jeriquara";616
"352560 João Ramalho";1097
"352570 José Bonifácio";885
"352580 Júlio Mesquita";1277
"352590 Jundiaí";32199
"352600 Junqueirópolis";3211
"352610 Juquiá";3443
"352620 Juquitiba";6532
"352630 Lagoinha";1512
"352650 Lavínia";1289
"352660 Lavrinhas";1549
"352670 Leme";10236
"352680 Lençóis Paulista";1021
"352690 Limeira";2007
"352700 Lindóia";782
"352710 Lins";2250
"352720 Lorena";1969
"352725 Lourdes";640
"352740 Lucélia";4369
"352760 Luís Antônio";2506
"352770 Luiziânia";1284
"352780 Lupércio";1204
"352790 Lutécia";870
"352800 Macatuba";4073
"352820 Macedônia";1158
"352840 Mairinque";1124
"352850 Mairiporã";4012
"352860 Manduri";2748
"352870 Marabá Paulista";1177
"352900 Marília";55239
"352910 Marinópolis";671
"352920 Martinópolis";2424
"352930 Matão";1286
"352940 Mauá";58817
"352950 Mendonça";1004
"352960 Meridiano";1226
"352965 Mesópolis";600
