"350010 Adamantina";34692;34692
"350020 Adolfo";3680;3680
"350030 Aguaí";32332;32332
"350040 Águas da Prata";7715;7715
"350050 Águas de Lindóia";17544;17544
"350055 Águas de Santa Bárbara";5690;5690
"350060 Águas de São Pedro";2633;2633
"350070 Agudos";35123;35123
"350075 Alambari";4797;4797
"350080 Alfredo Marcondes";3965;3965
"350090 Altair";3870;3870
"350100 Altinópolis";16022;16022
"350110 Alto Alegre";4246;4246
"350115 Alumínio";17023;17023
"350120 Álvares Florence";4083;4083
"350130 Álvares Machado";24018;24018
"350140 Álvaro de Carvalho";4682;4682
"350150 Alvinlândia";3055;3055
"350160 Americana";211453;211453
"350170 Américo Brasiliense";34320;34320
"350180 Américo de Campos";5846;5846
"350190 Amparo";66691;66691
"350200 Analândia";4284;4284
"350210 Andradina";56856;56856
"350220 Angatuba";22304;22304
"350230 Anhembi";5609;5609
"350240 Anhumas";3784;3784
"350250 Aparecida";35971;35971
"350260 Aparecida d'Oeste";4663;4663
"350270 Apiaí";26257;26257
"350275 Araçariguama";16482;16482
"350280 Araçatuba";184437;184437
"350290 Araçoiaba da Serra";26705;26705
"350300 Aramina";5226;5226
"350310 Arandu";6285;6285
"350315 Arapeí";2586;2586
"350320 Araraquara";209758;209758
"350330 Araras";119517;119517
"350335 Arco-Íris";2022;2022
"350340 Arealva";7953;7953
"350350 Areias";3783;3783
"350360 Areiópolis";10825;10825
"350370 Ariranha";8593;8593
"350380 Artur Nogueira";43407;43407
"350390 Arujá";74150;74150
"350395 Aspásia";1870;1870
"350400 Assis";96380;96380
"350410 Atibaia";127375;127375
"350420 Auriflama";14475;14475
"350430 Avaí";5032;5032
"350440 Avanhandava";11177;11177
"350450 Avaré";84088;84088
"350460 Bady Bassitt";14458;14458
"350470 Balbinos";3372;3372
"350480 Bálsamo";8240;8240
"350490 Bananal";10417;10417
"350500 Barão de Antonina";3145;3145
"350510 Barbosa";6641;6641
"350520 Bariri";31868;31868
"350530 Barra Bonita";36280;36280
"350535 Barra do Chapéu";5319;5319
"350540 Barra do Turvo";8015;8015
"350550 Barretos";113760;113760
"350560 Barrinha";28516;28516
"350570 Barueri";241605;241605
"350580 Bastos";21045;21045
"350590 Batatais";57086;57086
"350600 Bauru";348526;348526
"350610 Bebedouro";77102;77102
"350620 Bento de Abreu";2698;2698
"350630 Bernardino de Campos";11068;11068
"350635 Bertioga";45781;45781
"350640 Bilac";7071;7071
"350650 Birigui";109158;109158
"350660 Biritiba-Mirim";28664;28664
"350670 Boa Esperança do Sul";13833;13833
"350680 Bocaina";10906;10906
"350690 Bofete";9476;9476
"350700 Boituva";47135;47135
"350710 Bom Jesus dos Perdões";19099;19099
"350715 Bom Sucesso de Itararé";3609;3609
"350720 Borá";826;826
"350730 Boracéia";4292;4292
"350740 Borborema";14694;14694
"350745 Borebi";2292;2292
"350750 Botucatu";127445;127445
"350760 Bragança Paulista";146916;146916
"350770 Braúna";5046;5046
"350775 Brejo Alegre";2597;2597
"350780 Brodowski";20978;20978
"350790 Brotas";21696;21696
"350800 Buri";18914;18914
"350810 Buritama";15567;15567
"350820 Buritizal";4098;4098
"350830 Cabrália Paulista";4541;4541
"350840 Cabreúva";41226;41226
"350850 Caçapava";85564;85564
"350860 Cachoeira Paulista";30411;30411
"350870 Caconde";19029;19029
"350880 Cafelândia";16925;16925
"350890 Caiabu";4187;4187
"350900 Caieiras";86175;86175
"350910 Caiuá";5027;5027
"350920 Cajamar";63486;63486
"350925 Cajati";29324;29324
"350930 Cajobi";9934;9934
"350940 Cajuru";23556;23556
"350945 Campina do Monte Alegre";5658;5658
"350950 Campinas";1090308;1090308
"350960 Campo Limpo Paulista";74272;74272
"350970 Campos do Jordão";48488;48488
"350980 Campos Novos Paulista";4602;4602
"350990 Cananéia";12583;12583
"350995 Canas";4368;4368
"351000 Cândido Mota";30614;30614
"351010 Cândido Rodrigues";2733;2733
"351015 Canitar";4330;4330
"351020 Capão Bonito";47575;47575
"351030 Capela do Alto";17427;17427
"351040 Capivari";48648;48648
"351050 Caraguatatuba";99686;99686
"351060 Carapicuíba";375418;375418
"351070 Cardoso";12100;12100
"351080 Casa Branca";28828;28828
"351090 Cássia dos Coqueiros";2751;2751
"351100 Castilho";17953;17953
"351110 Catanduva";114720;114720
"351120 Catiguá";7224;7224
"351130 Cedral";7965;7965
"351140 Cerqueira César";17590;17590
"351150 Cerquilho";38891;38891
"351160 Cesário Lange";15493;15493
"351170 Charqueada";15136;15136
"355720 Chavantes";12468;12468
"351190 Clementina";6962;6962
"351200 Colina";17731;17731
"351210 Colômbia";6155;6155
"351220 Conchal";25473;25473
"351230 Conchas";16493;16493
"351240 Cordeirópolis";21038;21038
"351250 Coroados";5236;5236
"351260 Coronel Macedo";5248;5248
"351270 Corumbataí";3968;3968
"351280 Cosmópolis";57847;57847
"351290 Cosmorama";7445;7445
"351300 Cotia";197312;197312
"351310 Cravinhos";31984;31984
"351320 Cristais Paulista";7617;7617
"351330 Cruzália";2399;2399
"351340 Cruzeiro";78557;78557
"351350 Cubatão";120160;120160
"351360 Cunha";22703;22703
"351370 Descalvado";31540;31540
"351380 Diadema";391041;391041
"351385 Dirce Reis";1724;1724
"351390 Divinolândia";11670;11670
"351400 Dobrada";7993;7993
"351410 Dois Córregos";25049;25049
"351420 Dolcinópolis";2165;2165
"351430 Dourado";8850;8850
"351440 Dracena";43971;43971
"351450 Duartina";12636;12636
"351460 Dumont";8038;8038
"351470 Echaporã";6587;6587
"351480 Eldorado";14960;14960
"351490 Elias Fausto";15875;15875
"351492 Elisiário";3109;3109
"351495 Embaúba";2501;2501
"351500 Embu das Artes";241053;241053
"351510 Embu-Guaçu";63467;63467
"351512 Emilianópolis";3082;3082
"351515 Engenheiro Coelho";15129;15129
"351518 Espírito Santo do Pinhal";42825;42825
"351519 Espírito Santo do Turvo";4260;4260
"355730 Estiva Gerbi";10110;10110
"351520 Estrela d'Oeste";8448;8448
"351530 Estrela do Norte";2727;2727
"351535 Euclides da Cunha Paulista";9968;9968
"351540 Fartura";15694;15694
"351560 Fernando Prestes";5671;5671
"351550 Fernandópolis";65958;65958
"351565 Fernão";1583;1583
"351570 Ferraz de Vasconcelos";168317;168317
"351580 Flora Rica";1878;1878
"351590 Floreal";3127;3127
"351600 Flórida Paulista";12892;12892
"351610 Florínia";2963;2963
"351620 Franca";321968;321968
"351630 Francisco Morato";155039;155039
"351640 Franco da Rocha";131029;131029
"351650 Gabriel Monteiro";2787;2787
"351660 Gália";7361;7361
"351670 Garça";44334;44334
"351680 Gastão Vidigal";4200;4200
"351685 Gavião Peixoto";4490;4490
"351690 General Salgado";10997;10997
"351700 Getulina";10995;10995
"351710 Glicério";4668;4668
"351720 Guaiçara";10705;10705
"351730 Guaimbê";5538;5538
"351740 Guaíra";37946;37946
"351750 Guapiaçu";17683;17683
"351760 Guapiara";18818;18818
"351770 Guará";20244;20244
"351780 Guaraçaí";8755;8755
"351790 Guaraci";10051;10051
"351800 Guarani d'Oeste";2032;2032
"351810 Guarantã";6569;6569
"351820 Guararapes";31137;31137
"351830 Guararema";25853;25853
"351840 Guaratinguetá";113791;113791
"351850 Guareí";14179;14179
"351860 Guariba";35682;35682
"351870 Guarujá";294199;294199
"351880 Guarulhos";1229148;1229148
"351885 Guatapará";7054;7054
"351890 Guzolândia";4804;4804
"351900 Herculândia";8812;8812
"351905 Holambra";10873;10873
"351907 Hortolândia";190798;190798
"351910 Iacanga";9979;9979
"351920 Iacri";6665;6665
"351925 Iaras";5951;5951
"351930 Ibaté";30820;30820
"351940 Ibirá";10938;10938
"351950 Ibirarema";6728;6728
"351960 Ibitinga";53462;53462
"351970 Ibiúna";71974;71974
"351980 Icém";7546;7546
"351990 Iepê";7774;7774
"352000 Igaraçu do Tietê";23882;23882
"352010 Igarapava";28369;28369
"352020 Igaratá";8981;8981
"352030 Iguape";29394;29394
"352042 Ilha Comprida";8857;8857
"352044 Ilha Solteira";25574;25574
"352040 Ilhabela";27650;27650
"352050 Indaiatuba";197357;197357
"352060 Indiana";4980;4980
"352070 Indiaporã";4041;4041
"352080 Inúbia Paulista";3675;3675
"352090 Ipaussu";13844;13844
"352100 Iperó";27292;27292
"352110 Ipeúna";5881;5881
"352115 Ipiguá";4408;4408
"352120 Iporanga";4468;4468
"352130 Ipuã";14131;14131
"352140 Iracemápolis";19777;19777
"352150 Irapuã";7367;7367
"352160 Irapuru";7947;7947
"352170 Itaberá";18551;18551
"352180 Itaí";24142;24142
"352190 Itajobi";14906;14906
"352200 Itaju";3226;3226
"352210 Itanhaém";86762;86762
"352215 Itaóca";3318;3318
"352220 Itapecerica da Serra";152730;152730
"352230 Itapetininga";145009;145009
"352240 Itapeva";89328;89328
"352250 Itapevi";199435;199435
"352260 Itapira";69523;69523
"352265 Itapirapuã Paulista";3934;3934
"352270 Itápolis";40758;40758
"352280 Itaporanga";14922;14922
"352290 Itapuí";12187;12187
"352300 Itapura";4385;4385
"352310 Itaquaquecetuba";321926;321926
"352320 Itararé";49029;49029
"352330 Itariri";15567;15567
"352340 Itatiba";100633;100633
"352350 Itatinga";18085;18085
"352360 Itirapina";15471;15471
"352370 Itirapuã";5989;5989
"352380 Itobi";7743;7743
"352390 Itu";155060;155060
"352400 Itupeva";42719;42719
"352410 Ituverava";39340;39340
"352420 Jaborandi";6747;6747
"352430 Jaboticabal";72901;72901
"352440 Jacareí";213522;213522
"352450 Jaci";5536;5536
"352460 Jacupiranga";17661;17661
"352470 Jaguariúna";42880;42880
"352480 Jales";48182;48182
"352490 Jambeiro";5253;5253
"352500 Jandira";108379;108379
"352510 Jardinópolis";37458;37458
"352520 Jarinu";23279;23279
"352530 Jaú";131276;131276
"352540 Jeriquara";3271;3271
"352550 Joanópolis";11851;11851
"352560 João Ramalho";4210;4210
"352570 José Bonifácio";32946;32946
"352580 Júlio Mesquita";4506;4506
"352585 Jumirim";2767;2767
"352590 Jundiaí";372022;372022
"352600 Junqueirópolis";18939;18939
"352610 Juquiá";20017;20017
"352620 Juquitiba";29130;29130
"352630 Lagoinha";4998;4998
"352640 Laranjal Paulista";25395;25395
"352650 Lavínia";8362;8362
"352660 Lavrinhas";6669;6669
"352670 Leme";92332;92332
"352680 Lençóis Paulista";61992;61992
"352690 Limeira";278867;278867
"352700 Lindóia";6660;6660
"352710 Lins";72441;72441
"352720 Lorena";84028;84028
"352725 Lourdes";2166;2166
"352730 Louveira";35763;35763
"352740 Lucélia";20155;20155
"352750 Lucianópolis";2295;2295
"352760 Luís Antônio";10853;10853
"352770 Luiziânia";5034;5034
"352780 Lupércio";4453;4453
"352790 Lutécia";2824;2824
"352800 Macatuba";16624;16624
"352810 Macaubal";7827;7827
"352820 Macedônia";3785;3785
"352830 Magda";3330;3330
"352840 Mairinque";43846;43846
"352850 Mairiporã";79438;79438
"352860 Manduri";9113;9113
"352870 Marabá Paulista";4745;4745
"352880 Maracaí";13647;13647
"352885 Marapoama";2635;2635
"352890 Mariápolis";4015;4015
"352900 Marília";219317;219317
"352910 Marinópolis";2187;2187
"352920 Martinópolis";24559;24559
"352930 Matão";78027;78027
"352940 Mauá";419015;419015
"352950 Mendonça";4610;4610
"352960 Meridiano";3994;3994
"352965 Mesópolis";1947;1947
"352970 Miguelópolis";20765;20765
"352980 Mineiros do Tietê";12262;12262
"353000 Mira Estrela";2859;2859
"352990 Miracatu";21496;21496
"353010 Mirandópolis";27974;27974
"353020 Mirante do Paranapanema";17384;17384
"353030 Mirassol";54308;54308
"353040 Mirassolândia";4314;4314
"353050 Mococa";68021;68021
"353060 Mogi das Cruzes";388205;388205
"353070 Mogi Guaçu";138732;138732
"353080 Mogi Mirim";88018;88018
"353090 Mombuca";3329;3329
"353100 Monções";2178;2178
"353110 Mongaguá";45557;45557
"353120 Monte Alegre do Sul";7202;7202
"353130 Monte Alto";47401;47401
"353140 Monte Aprazível";21750;21750
"353150 Monte Azul Paulista";19576;19576
"353160 Monte Castelo";4182;4182
"353180 Monte Mor";48213;48213
"353170 Monteiro Lobato";4144;4144
"353190 Morro Agudo";29263;29263
"353200 Morungaba";11761;11761
"353205 Motuca";4334;4334
"353210 Murutinga do Sul";4264;4264
"353215 Nantes";2703;2703
"353220 Narandiba";4309;4309
"353230 Natividade da Serra";6915;6915
"353240 Nazaré Paulista";16510;16510
"353250 Neves Paulista";9043;9043
"353260 Nhandeara";10929;10929
"353270 Nipoã";4211;4211
"353280 Nova Aliança";5852;5852
"353282 Nova Campina";8532;8532
"353284 Nova Canaã Paulista";2241;2241
"353286 Nova Castilho";1132;1132
"353290 Nova Europa";9199;9199
"353300 Nova Granada";19326;19326
"353310 Nova Guataporanga";2222;2222
"353320 Nova Independência";2971;2971
"353330 Nova Luzitânia";3412;3412
"353340 Nova Odessa";51014;51014
"353325 Novais";4472;4472
"353350 Novo Horizonte";36864;36864
"353360 Nuporanga";6916;6916
"353370 Ocauçu";4280;4280
"353380 Óleo";2806;2806
"353390 Olímpia";50700;50700
"353400 Onda Verde";3907;3907
"353410 Oriente";6215;6215
"353420 Orindiúva";5559;5559
"353430 Orlândia";40212;40212
"353440 Osasco";682889;682889
"353450 Oscar Bressane";2611;2611
"353460 Osvaldo Cruz";31554;31554
"353470 Ourinhos";104262;104262
"353480 Ouro Verde";7900;7900
"353475 Ouroeste";8256;8256
"353490 Pacaembu";13468;13468
"353500 Palestina";11007;11007
"353510 Palmares Paulista";10787;10787
"353520 Palmeira d'Oeste";9987;9987
"353530 Palmital";21693;21693
"353540 Panorama";14823;14823
"353550 Paraguaçu Paulista";42982;42982
"353560 Paraibuna";17807;17807
"353570 Paraíso";5978;5978
"353580 Paranapanema";17890;17890
"353590 Paranapuã";3889;3889
"353600 Parapuã";11196;11196
"353610 Pardinho";5584;5584
"353620 Pariquera-Açu";18819;18819
"353625 Parisi";2073;2073
"353630 Patrocínio Paulista";13077;13077
"353640 Paulicéia";6328;6328
"353650 Paulínia";78848;78848
"353657 Paulistânia";1829;1829
"353660 Paulo de Faria";8809;8809
"353670 Pederneiras";41774;41774
"353680 Pedra Bela";5912;5912
"353690 Pedranópolis";2662;2662
"353700 Pedregulho";16013;16013
"353710 Pedreira";41572;41572
"353715 Pedrinhas Paulista";3008;3008
"353720 Pedro de Toledo";10306;10306
"353730 Penápolis";59448;59448
"353740 Pereira Barreto";25675;25675
"353750 Pereiras";7440;7440
"353760 Peruíbe";59938;59938
"353770 Piacatu";5315;5315
"353780 Piedade";53241;53241
"353790 Pilar do Sul";26701;26701
"353800 Pindamonhangaba";147309;147309
"353810 Pindorama";15110;15110
"353820 Pinhalzinho";13088;13088
"353830 Piquerobi";3626;3626
"353850 Piquete";14702;14702
"353860 Piracaia";25499;25499
"353870 Piracicaba";368368;368368
"353880 Piraju";29169;29169
"353890 Pirajuí";22867;22867
"353900 Pirangi";10815;10815
