"350010 Adamantina";35052
"350020 Adolfo";3622
"350030 Aguaí";34866
"350040 Águas da Prata";8025
"350050 Águas de Lindóia";18316
"350055 Águas de Santa Bárbara";5947
"350060 Águas de São Pedro";3139
"350070 Agudos";36528
"350075 Alambari";5558
"350080 Alfredo Marcondes";4098
"350090 Altair";4059
"350100 Altinópolis";16175
"350110 Alto Alegre";4172
"350115 Alumínio";18061
"350120 Álvares Florence";3852
"350130 Álvares Machado";24652
"350140 Álvaro de Carvalho";5028
"350150 Alvinlândia";3170
"350160 Americana";229320
"350170 Américo Brasiliense";38201
"350180 Américo de Campos";5944
"350190 Amparo";70278
"350200 Analândia";4728
"350210 Andradina";57250
"350220 Angatuba";24159
"350230 Anhembi";6309
"350240 Anhumas";3997
"350250 Aparecida";36218
"350260 Aparecida d'Oeste";4398
"350270 Apiaí";25214
"350275 Araçariguama";20114
"350280 Araçatuba";192757
"350290 Araçoiaba da Serra";31316
"350300 Aramina";5488
"350310 Arandu";6349
"350315 Arapeí";2524
"350320 Araraquara";226509
"350330 Araras";128897
"350335 Arco-Íris";1893
"350340 Arealva";8351
"350350 Areias";3856
"350360 Areiópolis";11047
"350370 Ariranha";9273
"350380 Artur Nogueira";50246
"350390 Arujá";83937
"350395 Aspásia";1853
"350400 Assis";101598
"350410 Atibaia";137189
"350420 Auriflama";14962
"350430 Avaí";5280
"350440 Avanhandava";12721
"350450 Avaré";88387
"350460 Bady Bassitt";16360
"350470 Balbinos";4819
"350480 Bálsamo";8772
"350490 Bananal";10777
"350500 Barão de Antonina";3353
"350510 Barbosa";7130
"350520 Bariri";34048
"350530 Barra Bonita";36321
"350535 Barra do Chapéu";5585
"350540 Barra do Turvo";7825
"350550 Barretos";119243
"350560 Barrinha";31229
"350570 Barueri";262272
"350580 Bastos";21065
"350590 Batatais";60587
"350600 Bauru";366994
"350610 Bebedouro";77627
"350620 Bento de Abreu";2878
"350630 Bernardino de Campos";11155
"350635 Bertioga";56555
"350640 Bilac";7679
"350650 Birigui";118353
"350660 Biritiba-Mirim";31155
"350670 Boa Esperança do Sul";14545
"350680 Bocaina";11805
"350690 Bofete";10882
"350700 Boituva";55727
"350710 Bom Jesus dos Perdões";23024
"350715 Bom Sucesso de Itararé";3831
"350720 Borá";838
"350730 Boracéia";4627
"350740 Borborema";15569
"350745 Borebi";2519
"350750 Botucatu";139486
"350760 Bragança Paulista";160665
"350770 Braúna";5452
"350775 Brejo Alegre";2760
"350780 Brodowski";23460
"350790 Brotas";23418
"350800 Buri";19570
"350810 Buritama";16580
"350820 Buritizal";4350
"350830 Cabrália Paulista";4392
"350840 Cabreúva";46525
"350850 Caçapava";91162
"350860 Cachoeira Paulista";32293
"350870 Caconde";18980
"350880 Cafelândia";17494
"350890 Caiabu";4206
"350900 Caieiras";95786
"350910 Caiuá";5559
"350920 Cajamar";71803
"350925 Cajati";28962
"350930 Cajobi";10340
"350940 Cajuru";25234
"350945 Campina do Monte Alegre";5903
"350950 Campinas";1164095
"350960 Campo Limpo Paulista";80846
"350970 Campos do Jordão";50857
"350980 Campos Novos Paulista";4836
"350990 Cananéia";12605
"350995 Canas";4855
"351000 Cândido Mota";31132
"351010 Cândido Rodrigues";2781
"351015 Canitar";4886
"351020 Capão Bonito";47484
"351030 Capela do Alto";19480
"351040 Capivari";53156
"351050 Caraguatatuba";113318
"351060 Carapicuíba";392297
"351070 Cardoso";12279
"351080 Casa Branca";29874
"351090 Cássia dos Coqueiros";2624
"351100 Castilho";19872
"351110 Catanduva";119482
"351120 Catiguá";7605
"351130 Cedral";8766
"351140 Cerqueira César";19110
"351150 Cerquilho";45143
"351160 Cesário Lange";17164
"351170 Charqueada";16438
"355720 Chavantes";12485
"351190 Clementina";7994
"351200 Colina";18243
"351210 Colômbia";6207
"351220 Conchal";27129
"351230 Conchas";17404
"351240 Cordeirópolis";23233
"351250 Coroados";5756
"351260 Coronel Macedo";4920
"351270 Corumbataí";4036
"351280 Cosmópolis";66809
"351290 Cosmorama";7386
"351300 Cotia";229549
"351310 Cravinhos";34109
"351320 Cristais Paulista";8257
"351330 Cruzália";2208
"351340 Cruzeiro";81083
"351350 Cubatão";127007
"351360 Cunha";22085
"351370 Descalvado";32977
"351380 Diadema";412429
"351385 Dirce Reis";1772
"351390 Divinolândia";11497
"351400 Dobrada";8591
"351410 Dois Córregos";26521
"351420 Dolcinópolis";2143
"351430 Dourado";8897
"351440 Dracena";45844
"351450 Duartina";12568
"351460 Dumont";9177
"351470 Echaporã";6314
"351480 Eldorado";15339
"351490 Elias Fausto";17084
"351492 Elisiário";3449
"351495 Embaúba";2479
"351500 Embu das Artes";261781
"351510 Embu-Guaçu";67294
"351512 Emilianópolis";3173
"351515 Engenheiro Coelho";18612
"351518 Espírito Santo do Pinhal";43897
"351519 Espírito Santo do Turvo";4620
"355730 Estiva Gerbi";10873
"351520 Estrela d'Oeste";8465
"351530 Estrela do Norte";2761
"351535 Euclides da Cunha Paulista";9643
"351540 Fartura";15961
"351560 Fernando Prestes";5761
"351550 Fernandópolis";68120
"351565 Fernão";1670
"351570 Ferraz de Vasconcelos";184700
"351580 Flora Rica";1636
"351590 Floreal";3010
"351600 Flórida Paulista";14001
"351610 Florínia";2799
"351620 Franca";342114
"351630 Francisco Morato";168243
"351640 Franco da Rocha";145756
"351650 Gabriel Monteiro";2784
"351660 Gália";6892
"351670 Garça";44534
"351680 Gastão Vidigal";4585
"351685 Gavião Peixoto";4686
"351690 General Salgado";10959
"351700 Getulina";11288
"351710 Glicério";4770
"351720 Guaiçara";11635
"351730 Guaimbê";5697
"351740 Guaíra";39814
"351750 Guapiaçu";20033
"351760 Guapiara";17877
"351770 Guará";20916
"351780 Guaraçaí";8525
"351790 Guaraci";10778
"351800 Guarani d'Oeste";2019
"351810 Guarantã";6650
"351820 Guararapes";32352
"351830 Guararema";28343
"351840 Guaratinguetá";119072
"351850 Guareí";16868
"351860 Guariba";38497
"351870 Guarujá";311229
"351880 Guarulhos";1324780
"351885 Guatapará";7445
"351890 Guzolândia";5103
"351900 Herculândia";9278
"351905 Holambra";13376
"351907 Hortolândia";215823
"351910 Iacanga";11066
"351920 Iacri";6481
"351925 Iaras";7969
"351930 Ibaté";33534
"351940 Ibirá";11858
"351950 Ibirarema";7379
"351960 Ibitinga";57646
"351970 Ibiúna";76430
"351980 Icém";7999
"351990 Iepê";8037
"352000 Igaraçu do Tietê";24447
"352010 Igarapava";29725
"352020 Igaratá";9346
"352030 Iguape";30389
"352042 Ilha Comprida";10288
"352044 Ilha Solteira";26345
"352040 Ilhabela";32197
"352050 Indaiatuba";231033
"352060 Indiana";4940
"352070 Indiaporã";3968
"352080 Inúbia Paulista";3881
"352090 Ipaussu";14579
"352100 Iperó";33371
"352110 Ipeúna";6914
"352115 Ipiguá";5019
"352120 Iporanga";4330
"352130 Ipuã";15567
"352140 Iracemápolis";22557
"352150 Irapuã";7778
"352160 Irapuru";8186
"352170 Itaberá";18015
"352180 Itaí";26042
"352190 Itajobi";15177
"352200 Itaju";3607
"352210 Itanhaém";96224
"352215 Itaóca";3339
"352220 Itapecerica da Serra";167235
"352230 Itapetininga";157015
"352240 Itapeva";92714
"352250 Itapevi";223401
"352260 Itapira";72967
"352265 Itapirapuã Paulista";4137
"352270 Itápolis";42345
"352280 Itaporanga";15112
"352290 Itapuí";13328
"352300 Itapura";4713
"352310 Itaquaquecetuba";352800
"352320 Itararé";50107
"352330 Itariri";16760
"352340 Itatiba";113281
"352350 Itatinga";19739
"352360 Itirapina";17154
"352370 Itirapuã";6321
"352380 Itobi";7827
"352390 Itu";167096
"352400 Itupeva";54127
"352410 Ituverava";40996
"352420 Jaborandi";6880
"352430 Jaboticabal";75817
"352440 Jacareí";226540
"352450 Jaci";6486
"352460 Jacupiranga";17850
"352470 Jaguariúna";51908
"352480 Jales";48925
"352490 Jambeiro";6089
"352500 Jandira";118831
"352510 Jardinópolis";41797
"352520 Jarinu";27472
"352530 Jaú";143281
"352540 Jeriquara";3214
"352550 Joanópolis";12723
"352560 João Ramalho";4421
"352570 José Bonifácio";35538
"352580 Júlio Mesquita";4688
"352585 Jumirim";3143
"352590 Jundiaí";401897
"352600 Junqueirópolis";20066
"352610 Juquiá";19359
"352620 Juquitiba";30641
"352630 Lagoinha";4959
"352640 Laranjal Paulista";27386
"352650 Lavínia";10590
"352660 Lavrinhas";7053
"352670 Leme";99386
"352680 Lençóis Paulista";66128
"352690 Limeira";296431
"352700 Lindóia";7484
"352710 Lins";76094
"352720 Lorena";87180
"352725 Lourdes";2250
"352730 Louveira";43863
"352740 Lucélia";21196
"352750 Lucianópolis";2361
"352760 Luís Antônio";13377
"352770 Luiziânia";5512
"352780 Lupércio";4552
"352790 Lutécia";2729
"352800 Macatuba";17013
"352810 Macaubal";8035
"352820 Macedônia";3746
"352830 Magda";3217
"352840 Mairinque";46017
"352850 Mairiporã";92324
"352860 Manduri";9593
"352870 Marabá Paulista";5433
"352880 Maracaí";13912
"352885 Marapoama";2884
"352890 Mariápolis";4076
"352900 Marília";232001
"352910 Marinópolis";2146
"352920 Martinópolis";25805
"352930 Matão";81437
"352940 Mauá";453283
"352950 Mendonça";5159
"352960 Meridiano";3916
"352965 Mesópolis";1932
"352970 Miguelópolis";21725
"352980 Mineiros do Tietê";12705
"353000 Mira Estrela";3004
"352990 Miracatu";20533
"353010 Mirandópolis";29046
"353020 Mirante do Paranapanema";17977
"353030 Mirassol";57855
"353040 Mirassolândia";4667
"353050 Mococa";68799
"353060 Mogi das Cruzes";424634
"353070 Mogi Guaçu";147236
"353080 Mogi Mirim";91486
"353090 Mombuca";3442
"353100 Monções";2235
