"350010 Adamantina";963.25
"350020 Adolfo";640.44
"350030 Aguaí";625.51
"350040 Águas da Prata";846.96
"350050 Águas de Lindóia";703.69
"350055 Águas de Santa Bárbara";797.97
"350060 Águas de São Pedro";1568.00
"350070 Agudos";627.75
"350075 Alambari";551.24
"350080 Alfredo Marcondes";553.23
"350090 Altair";612.33
"350100 Altinópolis";727.45
"350110 Alto Alegre";541.25
"350115 Alumínio";740.83
"350120 Álvares Florence";623.12
"350130 Álvares Machado";660.23
"350140 Álvaro de Carvalho";506.46
"350150 Alvinlândia";707.58
"350160 Americana";1133.46
"350170 Américo Brasiliense";651.51
"350180 Américo de Campos";683.18
"350190 Amparo";1002.82
"350200 Analândia";820.25
"350210 Andradina";907.91
"350220 Angatuba";595.94
"350230 Anhembi";549.16
"350240 Anhumas";558.65
"350250 Aparecida";752.06
"350260 Aparecida d'Oeste";608.31
"350270 Apiaí";483.31
"350275 Araçariguama";685.39
"350280 Araçatuba";993.33
"350290 Araçoiaba da Serra";835.01
"350300 Aramina";717.31
"350310 Arandu";530.51
"350315 Arapeí";410.83
"350320 Araraquara";1061.45
"350330 Araras";910.26
"350335 Arco-Íris";509.28
"350340 Arealva";692.79
"350350 Areias";384.13
"350360 Areiópolis";559.60
"350370 Ariranha";747.52
"350380 Artur Nogueira";810.80
"350390 Arujá";873.71
"350395 Aspásia";590.70
"350400 Assis";945.04
"350410 Atibaia";1020.29
"350420 Auriflama";820.21
"350430 Avaí";511.25
"350440 Avanhandava";558.86
"350450 Avaré";847.72
"350460 Bady Bassitt";777.11
"350470 Balbinos";586.30
"350480 Bálsamo";828.60
"350490 Bananal";586.07
"350500 Barão de Antonina";532.12
"350510 Barbosa";527.94
"350520 Bariri";771.49
"350530 Barra Bonita";903.18
"350535 Barra do Chapéu";364.58
"350540 Barra do Turvo";387.49
"350550 Barretos";906.32
"350560 Barrinha";655.94
"350570 Barueri";1038.11
"350580 Bastos";601.88
"350590 Batatais";888.38
"350600 Bauru";1141.43
"350610 Bebedouro";865.12
"350620 Bento de Abreu";641.17
"350630 Bernardino de Campos";673.10
"350635 Bertioga";727.67
"350640 Bilac";812.83
"350650 Birigui";797.41
"350660 Biritiba-Mirim";654.17
"350670 Boa Esperança do Sul";579.16
"350680 Bocaina";795.08
"350690 Bofete";601.12
"350700 Boituva";878.88
"350710 Bom Jesus dos Perdões";599.27
"350715 Bom Sucesso de Itararé";342.68
"350720 Borá";676.11
"350730 Boracéia";708.05
"350740 Borborema";659.84
"350745 Borebi";523.27
"350750 Botucatu";1051.31
"350760 Bragança Paulista";939.30
"350770 Braúna";722.21
"350775 Brejo Alegre";628.13
"350780 Brodowski";777.29
"350790 Brotas";711.01
"350800 Buri";424.66
"350810 Buritama";753.97
"350820 Buritizal";815.22
"350830 Cabrália Paulista";501.14
"350840 Cabreúva";685.66
"350850 Caçapava";856.31
"350860 Cachoeira Paulista";754.45
"350870 Caconde";624.02
"350880 Cafelândia";653.40
"350890 Caiabu";552.58
"350900 Caieiras";787.38
"350910 Caiuá";494.00
"350920 Cajamar";610.09
"350925 Cajati";468.50
"350930 Cajobi";674.26
"350940 Cajuru";593.36
"350945 Campina do Monte Alegre";516.85
"350950 Campinas";1320.21
"350960 Campo Limpo Paulista";757.57
"350970 Campos do Jordão";859.92
"350980 Campos Novos Paulista";499.45
"350990 Cananéia";531.63
"350995 Canas";434.22
"351000 Cândido Mota";618.77
"351010 Cândido Rodrigues";831.88
"351015 Canitar";474.95
"351020 Capão Bonito";531.20
"351030 Capela do Alto";521.29
"351040 Capivari";800.99
"351050 Caraguatatuba";746.56
"351060 Carapicuíba";654.85
"351070 Cardoso";589.70
"351080 Casa Branca";700.14
"351090 Cássia dos Coqueiros";548.03
"351100 Castilho";568.34
"351110 Catanduva";928.94
"351120 Catiguá";768.15
"351130 Cedral";831.19
"351140 Cerqueira César";655.56
"351150 Cerquilho";887.21
"351160 Cesário Lange";680.03
"351170 Charqueada";691.05
"355720 Chavantes";666.94
"351190 Clementina";636.14
"351200 Colina";700.24
"351210 Colômbia";578.14
"351220 Conchal";601.14
"351230 Conchas";712.90
"351240 Cordeirópolis";851.13
"351250 Coroados";636.80
"351260 Coronel Macedo";460.11
"351270 Corumbataí";730.48
"351280 Cosmópolis";787.69
"351290 Cosmorama";631.02
"351300 Cotia";1030.64
"351310 Cravinhos";774.71
"351320 Cristais Paulista";718.26
"351330 Cruzália";608.50
"351340 Cruzeiro";793.98
"351350 Cubatão";665.75
"351360 Cunha";516.26
"351370 Descalvado";791.63
"351380 Diadema";657.57
"351385 Dirce Reis";561.43
"351390 Divinolândia";703.45
"351400 Dobrada";585.98
"351410 Dois Córregos";720.28
"351420 Dolcinópolis";619.75
"351430 Dourado";693.60
"351440 Dracena";856.31
"351450 Duartina";683.88
"351460 Dumont";700.33
"351470 Echaporã";694.37
"351480 Eldorado";404.66
"351490 Elias Fausto";604.27
"351492 Elisiário";662.37
"351495 Embaúba";707.38
"351500 Embu das Artes";579.72
"351510 Embu-Guaçu";661.04
"351512 Emilianópolis";581.31
"351515 Engenheiro Coelho";702.21
"351518 Espírito Santo do Pinhal";1037.60
"351519 Espírito Santo do Turvo";526.46
"355730 Estiva Gerbi";665.22
"351520 Estrela d'Oeste";663.90
"351530 Estrela do Norte";592.17
"351535 Euclides da Cunha Paulista";482.78
"351540 Fartura";615.28
"351560 Fernando Prestes";831.17
"351550 Fernandópolis";938.63
"351565 Fernão";507.19
"351570 Ferraz de Vasconcelos";553.42
"351580 Flora Rica";496.64
"351590 Floreal";662.49
"351600 Flórida Paulista";613.90
"351610 Florínia";523.07
"351620 Franca";836.61
"351630 Francisco Morato";453.17
"351640 Franco da Rocha";605.40
"351650 Gabriel Monteiro";710.33
"351660 Gália";561.58
"351670 Garça";767.16
"351680 Gastão Vidigal";718.40
"351685 Gavião Peixoto";562.15
"351690 General Salgado";767.23
"351700 Getulina";587.28
"351710 Glicério";777.25
"351720 Guaiçara";607.39
"351730 Guaimbê";528.52
"351740 Guaíra";850.71
"351750 Guapiaçu";733.93
"351760 Guapiara";403.19
"351770 Guará";639.94
"351780 Guaraçaí";608.40
"351790 Guaraci";611.53
"351800 Guarani d'Oeste";552.64
"351810 Guarantã";608.89
"351820 Guararapes";732.40
"351830 Guararema";707.21
"351840 Guaratinguetá";915.87
"351850 Guareí";587.82
"351860 Guariba";663.95
"351870 Guarujá";719.02
"351880 Guarulhos";790.79
"351885 Guatapará";670.13
"351890 Guzolândia";532.68
"351900 Herculândia";538.22
"351905 Holambra";1258.84
"351907 Hortolândia";659.28
"351910 Iacanga";710.36
"351920 Iacri";626.58
"351925 Iaras";488.22
"351930 Ibaté";517.37
"351940 Ibirá";797.14
"351950 Ibirarema";586.89
"351960 Ibitinga";770.90
"351970 Ibiúna";607.88
"351980 Icém";684.22
"351990 Iepê";597.04
"352000 Igaraçu do Tietê";587.44
"352010 Igarapava";1220.71
"352020 Igaratá";548.05
"352030 Iguape";564.03
"352042 Ilha Comprida";562.06
"352044 Ilha Solteira";1043.33
"352040 Ilhabela";751.03
"352050 Indaiatuba";1067.69
"352060 Indiana";675.98
